Bibliothek,Buchhandlung
Rose,Tulpe
Lilie,Narzisse
Orchidee,Veilchen
Ast,Zweig
Laub,Nadel
Wurzel,Stamm
Erde,Lehm
Sand,Staub
Felsen,Granit
Kristall,Edelstein
Stern,Planet
Galaxie,Nebel
Universum,Raum
Satellit,Raumsonde
Kompass,Karte
GPS,Navigationsgerät
Radar,Sonar
Teleskop,Mikroskop
Labor,Schule
Krankenhaus,Praxis
Apotheke,Sanitätshaus
Tankstelle,Parkplatz
Supermarkt,Discounter
Buchhandlung,Bibliothek
Zoo,Aquarium
Museum,Galerie
Kirche,Tempel
Moschee,Kloster
Rathaus,Amtsgericht
Polizei,Feuerwehr
Schloss,Burg
Gefängnis,Zelle
Fabrik,Werft
Lager,Halle
Markt,Basar
Bauernhof,Stall
Scheune,Mühle
Garage,Carport
Werkstatt,Lager
Keller,Dachboden
Balkon,Terrasse
Wohnung,Loft
Hotel,Hostel
Campingplatz,Zelt
Wohnwagen,Van
Bahnsteig,Gleis
Flughafen,Terminal
Grenze,Pass
Passwort,Code
Chip,Karte
App,Programm
Datei,Ordner
Link,QR-Code
Website,Forum
Email,Brief
Nachricht,Post
Forum,Chat
Abo,Mitgliedschaft
Profil,Avatar
Admin,Moderator
Spieler,Gamer
Joystick,Controller
Konsole,PC
Headset,Mikrofon
Monitor,Bildschirm
Cloud,Server
Backup,Sicherung
Dateiformat,Bildformat
Filter,Algorithmus
KI,AI
Update,Patch
Bug,Glitch
Level,Quest
Story,Kampagne
Multiplayer,Koop
Ladebildschirm,Tutorial
Endboss,Finale
Highscore,Rangliste
Rätsel,Minispiel
Open-World,Sandbox
Pixel,Textur
Skin,Mod
Achievement,Trophäe
DLC,Addon
NPC,Bot
Cutscene,Intro
Tutorial,Anleitung
